gene,classification
BCL7C,protein
BCL9,protein
BCL9L,protein
BCLAF1,protein
BCLAF3,protein
BCO1,protein
BCO2,protein
BCOR,protein
BCORL1,protein
BCORP1,protein
BCR,protein
BCRP1,protein
BCS1L,protein
BDH1,protein
BDH2,protein
BDKRB1,protein
BDKRB2,protein
BDNF,protein
BDP1,protein
BEAN1,protein
BECN1,protein
BECN2,protein
BEGAIN,protein
BEND2,protein
BEND3,protein
BEND4,protein
BEND5,protein
BEND6,protein
BEND7,protein
BEST1,protein
BEST2,protein
BEST3,protein
BEST4,protein
BET1,protein
BET1L,protein
BEX1,protein
BEX2,protein
BEX3,protein
BEX4,protein
BEX5,protein
BFAR,protein
BFSP1,protein
BFSP2,protein
BGLAP,protein
BGN,protein
BHLHA15,protein
BHLHA9,protein
BHLHB9,protein
BHLHE22,protein
BHLHE23,protein
BHLHE40,protein
BHLHE41,protein
BHMG1,protein
BHMT,protein
BHMT2,protein
BICC1,protein
BICD1,protein
BICD2,protein
BICDL1,protein
BICDL2,protein
BICRA,protein
BICRAL,protein
BID,protein
BIK,protein
BIN1,protein
BIN2,protein
BIN3,protein
BIRC2,protein
BIRC3,protein
BIRC5,protein
BIRC6,protein
BIRC7,protein
BIRC8,protein
BIVM,protein
BLACE,protein
BLCAP,protein
BLID,protein
BLK,protein
BLM,protein
BLMH,protein
BLNK,protein
BLOC1S1,protein
BLOC1S2,protein
BLOC1S3,protein
BLOC1S4,protein
BLOC1S5,protein
BLOC1S6,protein
BLVRA,protein
BLVRB,protein
BLZF1,protein
BMERB1,protein
BMF,protein
BMI1,protein
BMP1,protein
BMP10,protein
BMP15,protein
BMP2,protein
BMP2K,protein
BMP2KL,protein
BMP3,protein
BMP4,protein
BMP5,protein
BMP6,protein
BMP7,protein
BMP8A,protein
BMP8B,protein
BMPER,protein
BMPR1A,protein
BMPR1B,protein
BMPR2,protein
BMS1,protein
BMT2,protein
BMX,protein
BNC1,protein
BNC2,protein
BNIP1,protein
BNIP2,protein
BNIP3,protein
BNIP3L,protein
BNIP5,protein
BNIPL,protein
BOC,protein
BOD1,protein
BOD1L1,protein
BOD1L2,protein
BOK,protein
BOLA1,protein
BOLA2,protein
BOLA2B,protein
BOLA3,protein
BOLL,protein
BOP1,protein
BORA,protein
BORCS5,protein
BORCS6,protein
BORCS7,protein
BORCS8,protein
BPESC1,protein
BPGM,protein
BPHL,protein
BPI,protein
BPIFA1,protein
BPIFA2,protein
BPIFA3,protein
BPIFA4P,protein
BPIFB1,protein
BPIFB2,protein
BPIFB3,protein
BPIFB4,protein
BPIFB6,protein
BPIFC,protein
BPNT1,protein
BPTF,protein
BPY2,protein
BPY2B,protein
BPY2C,protein
BRAF,protein
BRAP,protein
BRAT1,protein
BRCA1,protein
BRCA2,protein
BRCC3,protein
BRD1,protein
BRD2,protein
BRD3,protein
BRD3OS,protein
BRD4,protein
BRD7,protein
BRD8,protein
BRD9,protein
BRDT,protein
BRF1,protein
BRF2,protein
BRI3,protein
BRI3BP,protein
BRICD5,protein
BRINP1,protein
BRINP2,protein
BRINP3,protein
BRIP1,protein
BRIX1,protein
BRK1,protein
BRMS1,protein
BRMS1L,protein
BROX,protein
BRPF1,protein
BRPF3,protein
BRS3,protein
BRSK1,protein
BRSK2,protein
BRWD1,protein
BRWD1-AS2,protein
BRWD3,protein
BSCL2,protein
BSDC1,protein
BSG,protein
BSN,protein
BSND,protein
BSPH1,protein
BSPRY,protein
BST1,protein
BST2,protein
BSX,protein
BTAF1,protein
BTBD1,protein
BTBD10,protein
BTBD11,protein
BTBD16,protein
BTBD17,protein
BTBD18,protein
BTBD19,protein
BTBD2,protein
BTBD3,protein
BTBD6,protein
BTBD7,protein
BTBD8,protein
BTBD9,protein
BTC,protein
BTD,protein
BTF3,protein
BTF3L4,protein
BTG1,protein
BTG2,protein
BTG3,protein
BTG4,protein
BTK,protein
BTLA,protein
BTN1A1,protein
BTN2A1,protein
BTN2A2,protein
BTN2A3P,protein
BTN3A1,protein
BTN3A2,protein
BTN3A3,protein
BTNL10,protein
BTNL2,protein
BTNL3,protein
BTNL8,protein
BTNL9,protein
BTRC,protein
BUB1,protein
BUB1B,protein
BUB3,protein
BUD13,protein
BUD23,protein
BUD31,protein
BVES,protein
BVES-AS1,protein
BYSL,protein
BZW1,protein
BZW2,protein
C10orf105,protein
C10orf113,protein
C10orf120,protein
C10orf143,protein
C10orf53,protein
C10orf55,protein
C10orf62,protein
C10orf67,protein
C10orf71,protein
C10orf82,protein
C10orf88,protein
C10orf90,protein
C10orf95,protein
C10orf99,protein
C11orf1,protein
C11orf16,protein
C11orf21,protein
C11orf24,protein
C11orf40,protein
C11orf42,protein
C11orf45,protein
C11orf49,protein
C11orf52,protein
C11orf53,protein
C11orf54,protein
C11orf58,protein
C11orf65,protein
C11orf68,protein
C11orf71,protein
C11orf72,protein
C11orf80,protein
C11orf86,protein
C11orf87,protein
C11orf88,protein
C11orf91,protein
C11orf94,protein
C11orf95,protein
C11orf96,protein
C11orf97,protein
C11orf98,protein
C12orf10,protein
C12orf29,protein
C12orf4,protein
C12orf40,protein
C12orf42,protein
C12orf43,protein
C12orf45,protein
C12orf49,protein
C12orf50,protein
C12orf54,protein
C12orf56,protein
C12orf57,protein
C12orf60,protein
C12orf65,protein
C12orf66,protein
C12orf71,protein
C12orf73,protein
C12orf75,protein
C12orf76,protein
C13orf42,protein
C13orf46,protein
C14orf119,protein
C14orf132,protein
C14orf177,protein
C14orf178,protein
C14orf180,protein
C14orf28,protein
C14orf39,protein
C14orf93,protein
C15orf32,protein
C15orf39,protein
C15orf40,protein
C15orf41,protein
C15orf48,protein
C15orf54,protein
C15orf56,protein
C15orf61,protein
C15orf62,protein
C15orf65,protein
C16orf46,protein
C16orf54,protein
C16orf58,protein
C16orf70,protein
C16orf71,protein
C16orf72,protein
C16orf74,protein
C16orf78,protein
C16orf82,protein
C16orf86,protein
C16orf87,protein
C16orf89,protein
C16orf90,protein
C16orf91,protein
C16orf92,protein
C16orf95,protein
C16orf96,protein
C17orf100,protein
C17orf102,protein
C17orf107,protein
C17orf113,protein
C17orf49,protein
C17orf50,protein
C17orf58,protein
C17orf64,protein
C17orf67,protein
C17orf75,protein
C17orf77,protein
C17orf78,protein
C17orf80,protein
C17orf97,protein
C17orf98,protein
C17orf99,protein
C18orf15,protein
C18orf21,protein
C18orf25,protein
C18orf32,protein
C18orf54,protein
C18orf63,protein
C19orf12,protein
C19orf18,protein
C19orf25,protein
C19orf33,protein
C19orf38,protein
C19orf44,protein
C19orf47,protein
C19orf53,protein
C19orf54,protein
C19orf57,protein
C19orf67,protein
C19orf71,protein
C19orf73,protein
C19orf81,protein
C19orf84,protein
C19orf85,protein
C1D,protein
C1GALT1,protein
C1GALT1C1,protein
C1GALT1C1L,protein
C1QA,protein
C1QB,protein
C1QBP,protein
C1QC,protein
C1QL1,protein
C1QL2,protein
C1QL3,protein
C1QL4,protein
C1QTNF1,protein
C1QTNF12,protein
C1QTNF2,protein
C1QTNF3,protein
C1QTNF4,protein
C1QTNF5,protein
C1QTNF6,protein
C1QTNF7,protein
C1QTNF8,protein
C1QTNF9,protein
C1QTNF9B,protein
C1R,protein
C1RL,protein
C1S,protein
C1orf100,protein
C1orf105,protein
C1orf109,protein
C1orf112,protein
C1orf115,protein
C1orf116,protein
C1orf122,protein
C1orf127,protein
C1orf131,protein
C1orf141,protein
C1orf146,protein
C1orf147,protein
C1orf158,protein
C1orf159,protein
C1orf162,protein
C1orf167,protein
C1orf174,protein
C1orf185,protein
C1orf189,protein
C1orf194,protein
C1orf198,protein
C1orf21,protein
C1orf210,protein
C1orf216,protein
C1orf220,protein
C1orf226,protein
C1orf232,protein
C1orf35,protein
C1orf43,protein
C1orf50,protein
C1orf52,protein
C1orf53,protein
C1orf54,protein
C1orf56,protein
C1orf61,protein
C1orf68,protein
C1orf74,protein
C1orf87,protein
C1orf94,protein
C2,protein
C20orf141,protein
C20orf144,protein
C20orf173,protein
C20orf194,protein
C20orf197,protein
C20orf202,protein
C20orf203,protein
C20orf204,protein
C20orf27,protein
C20orf85,protein
C20orf96,protein
C21orf58,protein
C21orf62,protein
C21orf62-AS1,protein
C21orf91,protein
C22orf15,protein
C22orf23,protein
C22orf24,protein
C22orf31,protein
C22orf39,protein
C22orf42,protein
C2CD2,protein
C2CD2L,protein
C2CD3,protein
C2CD4A,protein
C2CD4B,protein
C2CD4C,protein
C2CD4D,protein
C2CD5,protein
C2CD6,protein
C2orf15,protein
C2orf16,protein
C2orf27A,protein
C2orf27B,protein
C2orf42,protein
C2orf49,protein
C2orf50,protein
C2orf66,protein
C2orf68,protein
C2orf69,protein
C2orf72,protein
C2orf73,protein
C2orf74,protein
C2orf76,protein
C2orf78,protein
C2orf80,protein
C2orf81,protein
C2orf83,protein
C2orf88,protein
C2orf91,protein
C2orf92,protein
C3,protein
C3AR1,protein
C3P1,protein
C3orf14,protein
C3orf18,protein
C3orf20,protein
C3orf22,protein
C3orf33,protein
C3orf35,protein
C3orf36,protein
C3orf38,protein
C3orf49,protein
C3orf52,protein
C3orf56,protein
C3orf62,protein
C3orf67,protein
C3orf70,protein
C3orf80,protein
C3orf84,protein
C3orf85,protein
C4A,protein
C4B,protein
C4BPA,protein
C4BPB,protein
C4orf17,protein
C4orf19,protein
C4orf3,protein
C4orf33,protein
C4orf36,protein
C4orf45,protein
C4orf46,protein
C4orf47,protein
C4orf48,protein
C4orf50,protein
C4orf51,protein
C4orf54,protein
C5,protein
C5AR1,protein
C5AR2,protein
C5orf15,protein
C5orf22,protein
C5orf24,protein
C5orf34,protein
C5orf38,protein
C5orf46,protein
C5orf47,protein
C5orf49,protein
C5orf51,protein
C5orf52,protein
C5orf58,protein
C5orf60,protein
C5orf63,protein
C5orf64,protein
C5orf67,protein
C6,protein
C6orf118,protein
C6orf120,protein
C6orf132,protein
C6orf136,protein
C6orf141,protein
C6orf15,protein
C6orf163,protein
C6orf223,protein
C6orf226,protein
C6orf47,protein
C6orf52,protein
C6orf58,protein
C6orf62,protein
C6orf89,protein
C6orf99,protein
C7,protein
C7orf25,protein
C7orf26,protein
C7orf31,protein
C7orf33,protein
C7orf50,protein
C7orf57,protein
C7orf61,protein
C7orf65,protein
C7orf69,protein
C7orf77,protein
C8A,protein
C8B,protein
C8G,protein
C8orf17,protein
C8orf33,protein
C8orf34,protein
C8orf37,protein
C8orf44,protein
C8orf48,protein
C8orf58,protein
C8orf74,protein
C8orf76,protein
C8orf82,protein
C8orf86,protein
C8orf87,protein
C8orf88,protein
C8orf89,protein
C9,protein
C9orf106,protein
C9orf129,protein
C9orf131,protein
C9orf135,protein
C9orf139,protein
C9orf152,protein
C9orf153,protein
C9orf16,protein
C9orf163,protein
C9orf24,protein
C9orf40,protein
C9orf43,protein
C9orf50,protein
C9orf57,protein
C9orf64,protein
C9orf72,protein
C9orf78,protein
C9orf85,protein
C9orf92,protein
CA1,protein
CA10,protein
CA11,protein
CA12,protein
CA13,protein
CA14,protein
CA2,protein
CA3,protein
CA4,protein
CA5A,protein
CA5B,protein
CA5BP1,protein
CA6,protein
CA7,protein
CA8,protein
CA9,protein
CAAP1,protein
CAB39,protein
CAB39L,protein
CABCOCO1,protein
CABIN1,protein
CABLES1,protein
CABLES2,protein
CABP1,protein
CABP2,protein
CABP4,protein
CABP5,protein
CABP7,protein
CABS1,protein
CABYR,protein
CACFD1,protein
CACHD1,protein
CACNA1A,protein
CACNA1B,protein
CACNA1C,protein
CACNA1D,protein
CACNA1E,protein
CACNA1F,protein
CACNA1G,protein
CACNA1H,protein
CACNA1I,protein
CACNA1S,protein
CACNA2D1,protein
CACNA2D2,protein
CACNA2D3,protein
CACNA2D4,protein
CACNB1,protein
CACNB2,protein
CACNB3,protein
CACNB4,protein
CACNG1,protein
CACNG2,protein
CACNG3,protein
CACNG4,protein
CACNG5,protein
CACNG6,protein
CACNG7,protein
CACNG8,protein
CACTIN,protein
CACTIN-AS1,protein
CACUL1,protein
CACYBP,protein
CAD,protein
CADM1,protein
CADM2,protein
CADM3,protein
CADM4,protein
CADPS,protein
CADPS2,protein
CAGE1,protein
CALB1,protein
CALB2,protein
CALCA,protein
CALCB,protein
CALCOCO1,protein
CALCOCO2,protein
CALCR,protein
CALCRL,protein
CALD1,protein
CALHM1,protein
CALHM2,protein
CALHM3,protein
CALHM4,protein
CALHM5,protein
CALHM6,protein
CALM1,protein
CALM2,protein
CALM3,protein
CALML3,protein
CALML4,protein
CALML5,protein
CALML6,protein
CALN1,protein
CALR,protein
CALR3,protein
CALU,protein
CALY,protein
CAMK1,protein
CAMK1D,protein
CAMK1G,protein
CAMK2A,protein
CAMK2B,protein
CAMK2D,protein
CAMK2G,protein
CAMK2N1,protein
CAMK2N2,protein
CAMK4,protein
CAMKK1,protein
CAMKK2,protein
CAMKMT,protein
CAMKV,protein
CAMLG,protein
CAMP,protein
CAMSAP1,protein
CAMSAP2,protein
CAMSAP3,protein
CAMTA1,protein
CAMTA2,protein
CAND1,protein
CAND2,protein
CANT1,protein
CANX,protein
CAP1,protein
CAP2,protein
CAPG,protein
CAPN1,protein
CAPN10,protein
CAPN11,protein
CAPN12,protein
CAPN13,protein
CAPN14,protein
CAPN15,protein
CAPN2,protein
CAPN3,protein
CAPN5,protein
CAPN6,protein
CAPN7,protein
CAPN8,protein
CAPN9,protein
CAPNS1,protein
CAPNS2,protein
CAPRIN1,protein
CAPRIN2,protein
CAPS,protein
CAPS2,protein
CAPSL,protein
CAPZA1,protein
CAPZA2,protein
CAPZA3,protein
CAPZB,protein
CARD10,protein
CARD11,protein
CARD14,protein
CARD16,protein
CARD17,protein
CARD18,protein
CARD19,protein
CARD6,protein
CARD8,protein
CARD9,protein
CARF,protein
CARHSP1,protein
CARM1,protein
CARMIL1,protein
CARMIL2,protein
CARMIL3,protein
CARNMT1,protein
CARNS1,protein
CARS1,protein
CARS2,protein
CARTPT,protein
CASC1,protein
CASC2,protein
CASC3,protein
CASC4,protein
CASD1,protein
CASK,protein
CASKIN1,protein
CASKIN2,protein
CASP1,protein
CASP10,protein
CASP12,protein
CASP14,protein
CASP2,protein
CASP3,protein
CASP4,protein
CASP5,protein
CASP6,protein
CASP7,protein
CASP8,protein
CASP8AP2,protein
CASP9,protein
CASQ1,protein
CASQ2,protein
CASR,protein
CASS4,protein
CAST,protein
CASTOR1,protein
CASTOR2,protein
CASTOR3,protein
CASZ1,protein
CAT,protein
CATIP,protein
CATSPER1,protein
CATSPER2,protein
CATSPER3,protein
CATSPER4,protein
CATSPERB,protein
CATSPERD,protein
CATSPERE,protein
CATSPERG,protein
CATSPERZ,protein
CAV1,protein
CAV2,protein
CAV3,protein
CAVIN1,protein
CAVIN2,protein
CAVIN3,protein
CAVIN4,protein
CBARP,protein
CBFA2T2,protein
CBFA2T3,protein
CBFB,protein
CBL,protein
CBLB,protein
CBLC,protein
CBLIF,protein
CBLL1,protein
CBLL2,protein
CBLN1,protein
CBLN2,protein
CBLN3,protein
CBLN4,protein
CBR1,protein
CBR3,protein
CBR4,protein
CBS,protein
CBWD1,protein
CBWD2,protein
CBWD3,protein
CBWD5,protein
CBWD6,protein
CBX1,protein
CBX2,protein
CBX3,protein
CBX4,protein
CBX5,protein
CBX6,protein
CBX7,protein
CBX8,protein
CBY1,protein
CBY2,protein
CBY3,protein
CC2D1A,protein
CC2D1B,protein
CC2D2A,protein
CC2D2B,protein
CCAR1,protein
CCAR2,protein
CCBE1,protein
CCDC102A,protein
CCDC102B,protein
CCDC103,protein
CCDC105,protein
CCDC106,protein
CCDC107,protein
CCDC110,protein
CCDC112,protein
CCDC113,protein
CCDC114,protein
CCDC115,protein
CCDC116,protein
CCDC117,protein
CCDC12,protein
CCDC120,protein
CCDC121,protein
CCDC122,protein
CCDC124,protein
CCDC125,protein
CCDC126,protein
CCDC127,protein
CCDC13,protein
CCDC130,protein
CCDC134,protein
CCDC136,protein
CCDC137,protein
CCDC138,protein
CCDC14,protein
CCDC140,protein
CCDC141,protein
CCDC142,protein
CCDC144A,protein
CCDC144B,protein
CCDC144CP,protein
CCDC144NL,protein
CCDC146,protein
CCDC148,protein
CCDC149,protein
CCDC15,protein
CCDC150,protein
CCDC151,protein
CCDC152,protein
CCDC153,protein
CCDC154,protein
CCDC155,protein
CCDC157,protein
CCDC158,protein
CCDC159,protein
CCDC160,protein
CCDC163,protein
CCDC166,protein
CCDC167,protein
CCDC168,protein
CCDC169,protein
CCDC17,protein
CCDC170,protein
CCDC171,protein
CCDC172,protein
CCDC173,protein
CCDC174,protein
CCDC175,protein
CCDC177,protein
CCDC178,protein
CCDC179,protein
CCDC18,protein
CCDC180,protein
CCDC181,protein
CCDC182,protein
CCDC183,protein
CCDC184,protein
CCDC185,protein
CCDC186,protein
CCDC187,protein
CCDC188,protein
CCDC189,protein
CCDC190,protein
CCDC191,protein
CCDC192,protein
CCDC194,protein
CCDC195,protein
CCDC196,protein
CCDC197,protein
CCDC198,protein
CCDC200,protein
CCDC201,protein
CCDC22,protein
CCDC24,protein
CCDC25,protein
CCDC27,protein
CCDC28A,protein
CCDC28A-AS1,protein
CCDC28B,protein
CCDC3,protein
CCDC30,protein
CCDC32,protein
CCDC33,protein
CCDC34,protein
CCDC36,protein
CCDC38,protein
CCDC39,protein
CCDC40,protein
CCDC42,protein
CCDC43,protein
CCDC47,protein
CCDC50,protein
CCDC51,protein
CCDC54,protein
CCDC57,protein
CCDC58,protein
CCDC59,protein
CCDC6,protein
CCDC60,protein
CCDC61,protein
CCDC62,protein
CCDC63,protein
CCDC65,protein
CCDC66,protein
CCDC68,protein
CCDC69,protein
CCDC7,protein
CCDC70,protein
CCDC71,protein
CCDC71L,protein
CCDC73,protein
CCDC74A,protein
CCDC74B,protein
CCDC77,protein
CCDC78,protein
CCDC8,protein
CCDC80,protein
CCDC81,protein
CCDC82,protein
CCDC83,protein
CCDC84,protein
CCDC85A,protein
CCDC85B,protein
CCDC85C,protein
CCDC86,protein
CCDC87,protein
CCDC88A,protein
CCDC88B,protein
CCDC88C,protein
CCDC89,protein
CCDC9,protein
CCDC90B,protein
CCDC91,protein
CCDC92,protein
CCDC92B,protein
CCDC93,protein
CCDC96,protein
CCDC97,protein
CCDC9B,protein
CCER1,protein
CCER2,protein
CCHCR1,protein
CCIN,protein
CCK,protein
CCKAR,protein
CCKBR,protein
CCL1,protein
CCL11,protein
CCL13,protein
CCL14,protein
CCL15,protein
CCL16,protein
CCL17,protein
CCL18,protein
CCL19,protein
CCL2,protein
CCL20,protein
CCL21,protein
CCL22,protein
CCL23,protein
CCL24,protein
CCL25,protein
CCL26,protein
CCL27,protein
CCL28,protein
CCL3,protein
CCL3L1,protein
CCL4,protein
CCL4L2,protein
CCL5,protein
CCL7,protein
CCL8,protein
CCM2,protein
CCM2L,protein
CCN1,protein
CCN2,protein
CCN3,protein
CCN4,protein
CCN5,protein
CCN6,protein
CCNA1,protein
CCNA2,protein
CCNB1,protein
CCNB1IP1,protein
CCNB2,protein
CCNB3,protein
CCNC,protein
CCND1,protein
CCND2,protein
CCND3,protein
CCNDBP1,protein
CCNE1,protein
CCNE2,protein
CCNF,protein
CCNG1,protein
CCNG2,protein
CCNH,protein
CCNI,protein
CCNI2,protein
CCNJ,protein
CCNJL,protein
CCNK,protein
CCNL1,protein
CCNL2,protein
CCNO,protein
CCNQ,protein
CCNT1,protein
CCNT2,protein
CCNY,protein
CCNYL1,protein
CCNYL2,protein
CCNYL3,protein
CCP110,protein
CCPG1,protein
CCR1,protein
CCR10,protein
CCR2,protein
CCR3,protein
CCR4,protein
CCR5,protein
CCR6,protein
CCR7,protein
CCR8,protein
CCR9,protein
CCRL2,protein
CCS,protein
CCSAP,protein
CCSER1,protein
CCSER2,protein
CCT2,protein
CCT3,protein
CCT4,protein
CCT5,protein
CCT6A,protein
CCT6B,protein
CCT7,protein
CCT8,protein
CCT8L1P,protein
CCT8L2,protein
CCZ1,protein
CCZ1B,protein
CD101,protein
CD109,protein
CD14,protein
CD151,protein
CD160,protein
CD163,protein
CD163L1,protein
CD164,protein
CD164L2,protein
CD177,protein
CD180,protein
CD19,protein
CD1A,protein
CD1B,protein
CD1C,protein
CD1D,protein
CD1E,protein
CD2,protein
CD200,protein
CD200R1,protein
CD200R1L,protein
CD207,protein
CD209,protein
CD22,protein
CD226,protein
CD24,protein
CD244,protein
CD247,protein
CD248,protein
CD27,protein
CD274,protein
CD276,protein
CD28,protein
CD2AP,protein
CD2BP2,protein
CD300A,protein
CD300C,protein
CD300E,protein
CD300H,protein
CD300LB,protein
CD300LD,protein
CD300LF,protein
CD300LG,protein
CD302,protein
CD320,protein
CD33,protein
CD34,protein
CD36,protein
CD37,protein
CD38,protein
CD3D,protein
CD3E,protein
CD3EAP,protein
CD3G,protein
CD4,protein
CD40,protein
CD40LG,protein
CD44,protein
CD46,protein
CD47,protein
CD48,protein
CD5,protein
CD52,protein
CD53,protein
CD55,protein
CD58,protein
CD59,protein
CD5L,protein
CD6,protein
CD63,protein
CD68,protein
CD69,protein
CD7,protein
CD70,protein
CD72,protein
CD74,protein
CD79A,protein
CD79B,protein
CD80,protein
CD81,protein
CD82,protein
CD83,protein
CD84,protein
CD86,protein
CD8A,protein
CD8B,protein
CD8B2,protein
CD9,protein
CD93,protein
CD96,protein
CD99,protein
CD99L2,protein
CDA,protein
CDADC1,protein
CDAN1,protein
CDC123,protein
CDC14A,protein
CDC14B,protein
CDC14C,protein
CDC16,protein
CDC20,protein
CDC20B,protein
CDC23,protein
CDC25A,protein
CDC25B,protein
CDC25C,protein
CDC26,protein
CDC27,protein
CDC34,protein
CDC37,protein
CDC37L1,protein
CDC40,protein
CDC42,protein
CDC42BPA,protein
CDC42BPB,protein
CDC42BPG,protein
CDC42EP1,protein
CDC42EP2,protein
CDC42EP3,protein
CDC42EP4,protein
CDC42EP5,protein
CDC42SE1,protein
CDC42SE2,protein
CDC45,protein
CDC5L,protein
CDC6,protein
CDC7,protein
CDC73,protein
CDCA2,protein
CDCA3,protein
CDCA4,protein
CDCA5,protein
CDCA7,protein
CDCA7L,protein
CDCA8,protein
CDCP1,protein
CDCP2,protein
CDH1,protein
CDH10,protein
CDH11,protein
CDH12,protein
CDH13,protein
CDH15,protein
CDH16,protein
CDH17,protein
CDH18,protein
CDH19,protein
CDH2,protein
CDH20,protein
CDH22,protein
CDH23,protein
CDH24,protein
CDH26,protein
CDH3,protein
CDH4,protein
CDH5,protein
CDH6,protein
CDH7,protein
CDH8,protein
CDH9,protein
CDHR1,protein
CDHR2,protein
CDHR3,protein
CDHR4,protein
CDHR5,protein
CDIP1,protein
CDIPT,protein
CDIPTOSP,protein
CDK1,protein
CDK10,protein
CDK11A,protein
CDK11B,protein
CDK12,protein
CDK13,protein
CDK14,protein
CDK15,protein
CDK16,protein
CDK17,protein
CDK18,protein
CDK19,protein
CDK2,protein
CDK20,protein
CDK2AP1,protein
CDK2AP2,protein
CDK3,protein
CDK4,protein
CDK5,protein
CDK5R1,protein
CDK5R2,protein
CDK5RAP1,protein
CDK5RAP2,protein
CDK5RAP3,protein
CDK6,protein
CDK7,protein
CDK8,protein
CDK9,protein
CDKAL1,protein
CDKL1,protein
CDKL2,protein
CDKL3,protein
CDKL4,protein
CDKL5,protein
CDKN1A,protein
CDKN1B,protein
CDKN1C,protein
CDKN2A,protein
CDKN2A-DT,protein
CDKN2AIP,protein
CDKN2AIPNL,protein
CDKN2B,protein
CDKN2C,protein
CDKN2D,protein
CDKN3,protein
CDNF,protein
CDO1,protein
CDON,protein
CDPF1,protein
CDR2,protein
CDR2L,protein
CDRT1,protein
CDRT15,protein
CDRT15L2,protein
CDRT4,protein
CDS1,protein
CDS2,protein
CDSN,protein
CDT1,protein
CDV3,protein
CDX1,protein
CDX2,protein
CDX4,protein
CDY1,protein
CDY1B,protein
CDY2A,protein
CDY2B,protein
CDYL,protein
CDYL2,protein
CEACAM1,protein
CEACAM16,protein
CEACAM18,protein
CEACAM19,protein
CEACAM20,protein
CEACAM21,protein
CEACAM3,protein
CEACAM4,protein
CEACAM5,protein
CEACAM6,protein
CEACAM7,protein
CEACAM8,protein
CEBPA,protein
CEBPB,protein
CEBPD,protein
CEBPE,protein
CEBPG,protein
CEBPZ,protein
CEBPZOS,protein
CECR2,protein
CECR9,protein
CEL,protein
CELA1,protein
CELA2A,protein
CELA2B,protein
CELA3A,protein
CELA3B,protein
CELF1,protein
CELF2,protein
CELF2-AS1,protein
CELF3,protein
CELF4,protein
CELF5,protein
CELF6,protein
CELSR1,protein
CELSR2,protein
CELSR3,protein
CEMIP,protein
CEMIP2,protein
CEMP1,protein
CEND1,protein
CENPA,protein
CENPB,protein
CENPBD1,protein
CENPC,protein
CENPE,protein
CENPF,protein
CENPH,protein
CENPI,protein
CENPJ,protein
CENPK,protein
CENPL,protein
CENPM,protein
CENPN,protein
CENPO,protein
CENPP,protein
CENPQ,protein
CENPS,protein
CENPT,protein
CENPU,protein
CENPV,protein
CENPVL1,protein
CENPVL2,protein
CENPVL3,protein
CENPW,protein
CENPX,protein
CEP104,protein
CEP112,protein
CEP120,protein
CEP126,protein
CEP128,protein
CEP131,protein
CEP135,protein
CEP152,protein
CEP162,protein
CEP164,protein
CEP170,protein
CEP170B,protein
CEP170P1,protein
CEP19,protein
CEP192,protein
CEP250,protein
CEP290,protein
CEP295,protein
CEP295NL,protein
CEP350,protein
CEP41,protein
CEP44,protein
CEP55,protein
CEP57,protein
CEP57L1,protein
CEP63,protein
CEP68,protein
CEP70,protein
CEP72,protein
CEP76,protein
CEP78,protein
CEP83,protein
CEP85,protein
CEP85L,protein
CEP89,protein
CEP95,protein
CEP97,protein
CEPT1,protein
CER1,protein
CERCAM,protein
CERK,protein
CERKL,protein
CERS1,protein
CERS2,protein
CERS3,protein
CERS4,protein
CERS5,protein
CERS6,protein
CERT1,protein
CES1,protein
CES1P1,protein
CES2,protein
CES3,protein
CES4A,protein
CES5A,protein
CETN1,protein
CETN2,protein
CETN3,protein
CETP,protein
CFAP100,protein
CFAP126,protein
CFAP157,protein
CFAP161,protein
CFAP20,protein
CFAP206,protein
CFAP221,protein
CFAP298,protein
CFAP299,protein
CFAP300,protein
CFAP36,protein
CFAP410,protein
CFAP43,protein
CFAP44,protein
CFAP45,protein
CFAP46,protein
CFAP47,protein
CFAP52,protein
CFAP53,protein
CFAP54,protein
CFAP57,protein
CFAP58,protein
CFAP61,protein
CFAP65,protein
CFAP69,protein
CFAP70,protein
CFAP73,protein
CFAP74,protein
CFAP77,protein
CFAP97,protein
CFAP97D1,protein
CFAP97D2,protein
CFAP99,protein
CFB,protein
CFC1,protein
CFC1B,protein
CFD,protein
CFDP1,protein
CFH,protein
CFHR1,protein
CFHR2,protein
CFHR3,protein
CFHR4,protein
CFHR5,protein
CFI,protein
CFL1,protein
CFL2,protein
CFLAR,protein
CFP,protein
CFTR,protein
CGA,protein
CGAS,protein
CGB1,protein
CGB2,protein
CGB3,protein
